400000 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: INTL HDQTRS-CENTER OWNED - UNITED STATES
425621 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425622 - TYPE:  DEBIT  | LEVEL:  INFINITE  | BANK: AMEN BANK - TUNISIA
425623 - TYPE:  DEBIT  | LEVEL:  INFINITE  | BANK: AMEN BANK - TUNISIA
425624 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: BANCO BRADESCO, S.A. - BRAZIL
425625 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425626 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: NATIONAL COMMERCIAL BANK JAMAICA, LTD. - JAMAICA
425627 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425628 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425629 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425630 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425631 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425632 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425633 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425634 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425635 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425636 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425637 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425638 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425639 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425640 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425641 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425642 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425643 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425644 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425645 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425646 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425647 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425648 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425649 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425650 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425651 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425652 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425653 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425654 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425655 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: BANCO PROMERICA, S.A. - HONDURAS
425656 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: PUBLIC JOINT-STOCK COMPANY BANK OTKRITIE FINANCIAL CORPORATION - RUSSIAN FEDERATION
425657 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425658 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
425659 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: MKB BANK RT. - HUNGARY
425660 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425661 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: SWEDBANK AB - SWEDEN
425662 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425663 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425664 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425665 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425666 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425667 - TYPE:  CREDIT  | LEVEL:  SIGNATURE  | BANK: CREDITO, S.A. - NICARAGUA
425668 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BIDVEST BANK, LTD. - SOUTH AFRICA
425669 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: AKBANK T.A.S. - TURKEY
425670 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANQUE EXTERIEURE D&#039;ALGERIE - ALGERIA
425671 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANCO DE LA PROVINCIA DE BUENOS AIRES - ARGENTINA
425672 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425673 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO HONDURENO DEL CAFE S.A. (BANHCAFE) - HONDURAS
425674 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: NOVOPAYMENT MEXICO, S.A. DE C.V. - MEXICO
425675 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425676 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: BANESCO BANCO MULTIPLE, S.A. - DOMINICAN REPUBLIC
425677 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: SCOTIABANK URUGUAY, S.A. - URUGUAY
425678 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: COOPERATIVA MULTIACTIVA DE CONSUMO AHORRO Y CREDITO YOAYU LTDA - PARAGUAY
425679 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425680 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: JSC BTA BANK - KAZAKHSTAN
425681 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: BLOM BANK S.A.L. - LEBANON
425682 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: BANCO HIPOTECARIO DE EL SALVADOR, S.A. - EL SALVADOR
425683 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: BANQUE POUR LE COMMERCE ET L&#039;INDUSTRIE MER ROUGE - DJIBOUTI
425684 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425685 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: NLB TUZLANSKA BANKA D.D. TUZLA - BOSNIA AND HERZEGOVINA
425686 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: MITSUBISHI UFJ NICOS CO., LTD - JAPAN
425687 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: THE HOUSING BANK FOR TRADE &amp; FINANCE - JORDAN
425688 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: CAIXA ECONOMICA DE CABO VERDE - CAPE VERDE
425689 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: BANK OF AMERICA, NATIONAL ASSOCIATION - UNITED STATES
425690 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: JSCB FORA BANK - RUSSIAN FEDERATION
425691 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: JSCB FORA BANK - RUSSIAN FEDERATION
425692 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: JSCB FORA BANK - RUSSIAN FEDERATION
425693 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: OJSC INVESTCAPITALBANK - RUSSIAN FEDERATION
425694 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: OJSC INVESTCAPITALBANK - RUSSIAN FEDERATION
425695 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: SUDANESE FRENCH BANK - SUDAN
425696 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: SEVERNY MORSKOY PUT OJSC - RUSSIAN FEDERATION
425697 - TYPE:  CREDIT  | LEVEL:  INFINITE  | BANK: BANK AL ETIHAD - JORDAN
425698 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: HDFC BANK, LTD. - INDIA
425699 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: JSC BTA BANK - KAZAKHSTAN
425700 - TYPE:  DEBIT  | LEVEL:  CORPORATE T&amp;E  | BANK: NOUVOBANQ - SEYCHELLES INTERNATIONAL MERCANTILE BANKING CORPORATION, LTD. - SEYCHELLES
425701 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: NEDBANK, LTD. - SOUTH AFRICA
425702 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: BANQUE LAURENTIENNE DU CANADA - CANADA
425703 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: ABSA BANK, LTD. - SOUTH AFRICA
425704 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: PNC BANK, NATIONAL ASSOCIATION - CONSUMER CREDIT - UNITED STATES
425705 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO SANTANDER, S.A. - SPAIN
425706 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO SANTANDER, S.A. - SPAIN
425707 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: SPIRIT FINANCIAL CREDIT UNION - UNITED STATES
425708 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: GE CAPITAL BANK, LTD. - UNITED KINGDOM
425709 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: COMMERZBANK AG - GERMANY
425710 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: PEOPLE TECH LATIN SAS - COLOMBIA
425711 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCA NAZIONALE DEL LAVORO S.P.A. - ITALY
425712 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: TRIODOS BANK, N.V. - BELGIUM
425713 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
425714 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: TELLER, A.S. - NORWAY
425715 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: FIRSTRAND BANK, LTD. - SOUTH AFRICA
425716 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BMW BANK GMBH - GERMANY
425717 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: THE GOVERNOR AND COMPANY OF THE BANK OF IRELAND - IRELAND
425718 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: DEUTSCHER SPARKASSEN- UND GIROVERBAND - GERMANY
425719 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: NATIONAL WESTMINSTER BANK PLC - UNITED KINGDOM
425720 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: F AND A FEDERAL CREDIT UNION - UNITED STATES
425721 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
425722 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: ING LUXEMBOURG, S.A. - LUXEMBOURG
425723 - TYPE:  CREDIT  | LEVEL:  CORPORATE  | BANK: BAYERISCHE LANDESBANK - GERMANY
425724 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA) - SPAIN
425725 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO BILBAO VIZCAYA ARGENTARIA S.A. (BBVA) - SPAIN
425726 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: CITIBANK RT. - HUNGARY
425727 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: ISRACARD, LTD. - ISRAEL
425728 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: VISA BELGIUM - BELGIUM
425729 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: SOLBANK SBD, S.A. - SPAIN
425730 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: SOLBANK SBD, S.A. - SPAIN
425731 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO DE ASTURIAS, S.A. - SPAIN
425732 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO DE ASTURIAS, S.A. - SPAIN
425733 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCA SELLA S.P.A. - ITALY
425734 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425735 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425736 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425737 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425738 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425739 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425740 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425741 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425742 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425743 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425744 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425745 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BANCO POPULAR ESPANOL, S.A. - SPAIN
425746 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: GLOBAL PAYMENTS MONEYTOPAY, EDE, S.L. - SPAIN
425747 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: CAIXABANK, S.A. - SPAIN
425748 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: CITIBANK AG - GERMANY
425749 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: THE ROYAL BANK OF SCOTLAND PLC - UNITED KINGDOM
425750 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: MASHREQBANK - UNITED ARAB EMIRATES
425751 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: 
425752 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: UNICREDIT BANK SLOVENIA - SLOVENIA
425753 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: IAA CREDIT UNION - UNITED STATES
425754 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: ALABAMA STATE EMPLOYEES CREDIT UNION - UNITED STATES
425755 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: SUTTON BANK - UNITED STATES
425756 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: SERVICE CREDIT UNION - UNITED STATES
425757 - TYPE:  CREDIT  | LEVEL:  CORPORATE T&amp;E  | BANK: BARCLAYS BANK PLC - UNITED KINGDOM
425758 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: PATHWARD, N.A. - UNITED STATES
425759 - TYPE:  DEBIT  | LEVEL:  PREPAID BUSINESS  | BANK: ECOBANK CABO VERDE SA - CAPE VERDE
425760 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: PARTHENON FEDERAL CREDIT UNION - UNITED STATES
425761 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
425762 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: WESTERN INDIANA CREDIT UNION - UNITED STATES
425763 - TYPE:  CREDIT  | LEVEL:  PURCHASING WITH FLEET  | BANK: SERVICIOS BROXEL. S.A.P.I. DE C.V. - MEXICO
425764 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: MITSUBISHI UFJ NICOS CO., LTD - JAPAN
425765 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: 
425766 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: TARJETAS BANAMEX S.A. DE C.V. SOFOM ENTIDAD REGULADA - MEXICO
425767 - TYPE:  DEBIT  | LEVEL:  ------  | BANK: 
425768 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: 
425769 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: WELLS FARGO BANK, N.A. - UNITED STATES
425770 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: BAPTIST HEALTH SOUTH FLORIDA FEDERAL CREDIT UNION - UNITED STATES
425771 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: FIREFIGHTERS CREDIT UNION - UNITED STATES
425772 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: THE INFIRMARY FEDERAL CREDIT UNION - UNITED STATES
425773 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: NAHEOLA CREDIT UNION - UNITED STATES
425774 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: SCI FEDERAL CREDIT UNION - UNITED STATES
425775 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: BRECO FEDERAL CREDIT UNION - UNITED STATES
425776 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: TEAM FIRST FEDERAL CREDIT UNION - UNITED STATES
425777 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: KITSAP BANK - UNITED STATES
425778 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: NAVIGANT CREDIT UNION - UNITED STATES
425779 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: UFIRST FEDERAL CREDIT UNION - UNITED STATES
425780 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
425781 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
425782 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: ICBA BANCARD, INC. - UNITED STATES
425783 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: FIRST INTERSTATE BANK - UNITED STATES
425784 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: ICBA BANCARD, INC. - UNITED STATES
425785 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: CITY NATIONAL BANK - UNITED STATES
425786 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: PNC FINANCIAL SERVICES GROUP, INC. - UNITED STATES
425787 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: FIRST REPUBLIC BANK - UNITED STATES
425788 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: FIRST REPUBLIC BANK - UNITED STATES
425789 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: AVENIR FINANCIAL FEDERAL CREDIT UNION - UNITED STATES
425790 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: ICBA BANCARD, INC. - UNITED STATES
425791 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: MOTION FEDERAL CREDIT UNION - UNITED STATES
425792 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: SUMMIT NATIONAL BANK - UNITED STATES
425793 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: STATE BANK OF FAIRMONT - UNITED STATES
425794 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: WELLS FARGO BANK, N.A. - UNITED STATES
425795 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: WELLS FARGO BANK, N.A. - UNITED STATES
425796 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: WELLS FARGO BANK, N.A. - UNITED STATES
425797 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BIG HORN FEDERAL SAVINGS BANK - UNITED STATES
425798 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: CENTENNIAL BANK - UNITED STATES
425799 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: 
425800 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: M&amp;T BANK - UNITED STATES
425801 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANKCHAMPAIGN, NATIONAL ASSOCIATION - UNITED STATES
425802 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: M&amp;T BANK - UNITED STATES
425803 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: M&amp;T BANK - UNITED STATES
425804 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL  | BANK: M&amp;T BANK - UNITED STATES
425805 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: UNION BANK OF INDIA - INDIA
425806 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: AXIS BANK, LTD. - INDIA
425807 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: TRIUS FEDERAL CREDIT UNION - UNITED STATES
425808 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: M&amp;T BANK - UNITED STATES
425809 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: M&amp;T BANK - UNITED STATES
425810 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: M&amp;T BANK - UNITED STATES
425811 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: 
425812 - TYPE:  DEBIT  | LEVEL:  GOLD  | BANK: 
425813 - TYPE:  DEBIT  | LEVEL:  INFINITE  | BANK: 
425814 - TYPE:  DEBIT  | LEVEL:  PLATINUM  | BANK: 
425815 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: 
425816 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: M&amp;T BANK - UNITED STATES
425817 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: BANCO DAVIVIENDA, S.A. - COLOMBIA
425818 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: POMELO TECNOLOGIA SAS - COLOMBIA
425819 - TYPE:  CREDIT  | LEVEL:  GOLD  | BANK: SCOTIABANK COLPATRIA S.A - COLOMBIA
425820 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: M&amp;T BANK - UNITED STATES
425821 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: HSBC BANK ARGENTINA, S.A. - ARGENTINA
425822 - TYPE:  CREDIT  | LEVEL:  PLATINUM  | BANK: HSBC BANK ARGENTINA, S.A. - ARGENTINA
425823 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: BANCO DO NORDESTE DO BRASIL, S.A. - BRAZIL
425824 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANCO DO NORDESTE DO BRASIL, S.A. - BRAZIL
425825 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: BANCO DO NORDESTE DO BRASIL, S.A. - BRAZIL
425826 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: M&amp;T BANK - UNITED STATES
425827 - TYPE:  CREDIT  | LEVEL:  CLASSIC  | BANK: MITSUBISHI UFJ NICOS CO., LTD - JAPAN
425828 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: M&amp;T BANK - UNITED STATES
425829 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: M&amp;T BANK - UNITED STATES
425830 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: FARMERS STATE BANK - UNITED STATES
425831 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: FARMERS STATE BANK - UNITED STATES
425832 - TYPE:  DEBIT  | LEVEL:  PREPAID CLASSIC  | BANK: FARMERS STATE BANK - UNITED STATES
425833 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: SCA FEDERAL CREDIT UNION - UNITED STATES
425834 - TYPE:  CREDIT  | LEVEL:  BUSINESS  | BANK: M&amp;T BANK - UNITED STATES
425835 - TYPE:  DEBIT  | LEVEL:  PREPAID  | BANK: M&amp;T BANK - UNITED STATES
425836 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: M&amp;T BANK - UNITED STATES
425837 - TYPE:  CREDIT  | LEVEL:  TRADITIONAL REWARDS  | BANK: SOLVAY BANK - UNITED STATES
425838 - TYPE:  DEBIT  | LEVEL:  CLASSIC  | BANK: M&amp;T BANK - UNITED STATES
425839 - TYPE:  DEBIT  | LEVEL:  BUSINESS  | BANK: M&amp;T BANK - UNITED STATES
425840 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
425841 - TYPE:  CREDIT  | LEVEL:  B2B VIRTUAL PAYMENTS  | BANK: **PROVISIONAL BID** OUTPAYCE S.A.U. - SPAIN
425842 - TYPE:  CREDIT  | LEVEL:  ------  | BANK: 
425843 - TYPE:  DEBIT  | LEVEL:  ELECTRON  | BANK: SCOTIABANK COLPATRIA S.A - COLOMBIA
